User Message,Answer
Chị muốn hỏi về chính sách bảo hành pin điện thoại mua ở shop mình.,"Chào chị! Về chính sách bảo hành pin điện thoại mua tại FPT Shop, tất cả các sản phẩm đều được bảo hành theo đúng chính sách của nhà sản xuất. Thông thường, pin điện thoại sẽ có thời gian bảo hành từ 6 tháng đến 1 năm, tùy thuộc vào từng hãng sản xuất.

Chị có thể mang sản phẩm đến bất kỳ cửa hàng FPT Shop nào để được hỗ trợ bảo hành. Nếu chị cần thêm thông tin chi tiết hoặc có câu hỏi khác, chị vui lòng cho em biết nhé!"
"Anh mua cái màn hình máy tính, giờ nó bị sọc thì bảo hành sao em?","Nếu màn hình máy tính của anh bị sọc và vẫn còn trong thời gian bảo hành, anh có thể mang sản phẩm đến FPT Shop để được kiểm tra. Nếu lỗi do nhà sản xuất, FPT Shop sẽ gửi máy đi bảo hành theo quy định của hãng. Anh cũng có thể xem xét việc đổi hoặc trả sản phẩm, nhưng sẽ cần kiểm tra tình trạng máy và sẽ có phí khấu hao nếu sản phẩm đã sử dụng.

Nếu anh cần thêm thông tin hoặc hỗ trợ, hãy cho em biết nhé!"
"Tôi mới mua con chuột máy tính hôm qua mà giờ thấy không ưng ý, có được đổi con khác không shop?","Chào bạn! Nếu bạn mới mua con chuột máy tính hôm qua và không ưng ý, bạn có thể đổi sang sản phẩm khác trong vòng 365 ngày kể từ ngày mua. Tuy nhiên, FPT Shop sẽ kiểm tra tình trạng của sản phẩm và áp dụng phí khấu hao là 30% trong tháng đầu tiên. 

Bạn có cần hỗ trợ gì thêm không ạ? Nếu bạn cần tìm một loại chuột khác, bên mình có nhiều lựa chọn để bạn tham khảo!"
"Điện thoại của chị tự nhiên không nhận sạc, phải làm sao đây em?","Chị ơi, trước tiên em cần biết điện thoại của chị là thương hiệu gì, như Samsung, iPhone hay thương hiệu khác? Điều này sẽ giúp em tư vấn chính xác hơn cho chị."
Sao gọi hotline không ai bắt máy?,"Xin chào! Rất tiếc khi nghe rằng anh/chị không thể liên lạc được với hotline. Đôi khi có thể do lượng cuộc gọi quá đông hoặc sự cố kỹ thuật. Anh/chị có thể thử gọi lại sau một thời gian hoặc liên hệ qua email cskh@fptshop.com để được hỗ trợ nhanh chóng.

Nếu anh/chị cần hỗ trợ về sản phẩm nào, như điện thoại, laptop hay phụ kiện công nghệ, hãy cho em biết để em có thể giúp đỡ thêm!"
Laptop của mình mới mua sao vào wifi chập chờn quá shop ơi.,"Chào bạn! Rất tiếc khi nghe rằng laptop của bạn gặp vấn đề với kết nối Wi-Fi. Để giúp bạn tốt hơn, bạn có thể cho mình biết thương hiệu của laptop bạn đang sử dụng không? Ví dụ như Dell, HP, Lenovo, v.v. Cảm ơn bạn!"
Anh đặt hàng online thì bao lâu nhận được hàng ở Thủ Đức vậy em?,"Thời gian giao hàng đến Thủ Đức thường sẽ được thực hiện trong vòng 1-2 ngày làm việc, tùy thuộc vào thời điểm đặt hàng và tình trạng hàng hóa. Nếu anh đặt hàng trước 20h00, FPT Shop sẽ giao hàng trong thời gian sớm nhất có thể. Anh có cần hỗ trợ gì thêm không ạ?"
Anh muốn xem bảng giá sửa chữa điện thoại thì vào đâu em?,"Anh muốn xem bảng giá sửa chữa điện thoại thì có thể tham khảo [bảng giá sửa chữa](https://fptshop.com.vn/ho-tro/bang-gia-sua-chua). 

Ngoài ra, anh có thể cho em biết thương hiệu điện thoại mà anh đang quan tâm không?"
"Chị mua cái máy xay sinh tố mà không biết dùng, shop hướng dẫn chị với.","Chào chị! Để sử dụng máy xay sinh tố, chị có thể tham khảo sách hướng dẫn sử dụng kèm theo sản phẩm. Nếu chị cần thêm thông tin hoặc hướng dẫn cụ thể, chị có thể gọi vào tổng đài 1800.6601 nhánh số 2 để gặp điện thoại viên hỗ trợ thêm. 

Nếu chị cần tìm hiểu thêm về các sản phẩm khác hoặc có câu hỏi nào khác, hãy cho em biết nhé!"
"Cho tui hỏi , FPT Shop có chính sách giao hàng miễn phí trong vòng 20km, nhưng phí giao hàng cho các đơn hàng dưới 100,000 VNĐ là bao nhiêu?","Phí giao hàng cho các đơn hàng dưới 100.000 VNĐ là 10.000 VNĐ. Nếu anh/chị có thêm câu hỏi nào khác hoặc cần hỗ trợ về sản phẩm, vui lòng cho em biết nhé!"
Cô muốn xem giá thay linh kiện cho sản phẩm đã mua tại FPT Shop,"Quý khách có thể tham khảo [bảng giá sửa chữa](https://fptshop.com.vn/ho-tro/bang-gia-sua-chua) để xem giá thay linh kiện cho sản phẩm đã mua tại FPT Shop. Nếu cần thêm thông tin gì, xin vui lòng cho tôi biết!"
Anh muốn đặt mua cái tai nghe Sony WH-1000XM5 online thì làm thế nào em?,"Để đặt mua tai nghe Sony WH-1000XM5 online tại FPT Shop, anh có thể làm theo các bước sau:

Bước 1: Truy cập vào trang chủ của [FPT Shop](https://fptshop.com.vn/).

Bước 2: Gõ vào thanh tìm kiếm ""Sony WH-1000XM5"" và nhấn Enter. Hệ thống sẽ hiển thị sản phẩm mà anh đang tìm.

Bước 3: Click vào sản phẩm tai nghe Sony WH-1000XM5 để xem chi tiết và thông số kỹ thuật.

Bước 4: Nếu anh muốn mua, hãy nhấn vào nút 'MUA NGAY'. Kiểm tra giỏ hàng để đảm bảo sản phẩm đã được thêm vào.

Bước 5: Điền thông tin đặt hàng, chọn phương thức giao hàng (giao hàng tận nơi hoặc nhận tại cửa hàng) và điền thông tin cá nhân.

Bước 6: Chọn hình thức thanh toán mà anh mong muốn (tiền mặt khi nhận hàng, thẻ ATM, thẻ tín dụng, hoặc các hình thức khác).

Bước 7: Nhấn 'Đặt hàng' để hoàn tất đơn hàng. Nhân viên FPT Shop sẽ gọi điện xác nhận đơn hàng của anh trong thời gian sớm nhất.

Nếu anh cần thêm thông tin hoặc hỗ trợ gì khác, hãy cho em biết nhé!"
"Tui vừa thanh toán đơn hàng #56789 bằng thẻ tín dụng mà thấy báo lỗi, tiền thì bị trừ rồi. Shop kiểm tra giúp tui.","Chào bạn! Rất tiếc về sự cố mà bạn gặp phải khi thanh toán đơn hàng #56789. Để kiểm tra và hỗ trợ bạn tốt nhất, bạn vui lòng liên hệ với tổng đài 1800.6616 để được nhân viên tư vấn hỗ trợ kiểm tra tình trạng đơn hàng và giao dịch của bạn nhé. Cảm ơn bạn đã thông báo!"
"Tôi thấy có quảng cáo mua laptop được tặng balo, chương trình này còn không?","Chào bạn! Chương trình tặng balo khi mua laptop có thể thay đổi theo từng thời điểm. Bạn có thể cho tôi biết bạn đang quan tâm đến thương hiệu laptop nào như Dell, HP, Lenovo, v.v. để tôi có thể kiểm tra thông tin cụ thể cho bạn nhé!"
"Tôi mới nhận được cái nồi chiên không dầu mà thấy nó bị móp ở góc, giờ sao shop?","Chào bạn! Nếu bạn đã nhận được nồi chiên không dầu và thấy bị móp ở góc, FPT Shop sẽ không đổi sản phẩm mới hoặc hoàn tiền nếu sản phẩm đã được kích hoạt bảo hành điện tử hoặc sau khi nhân viên giao hàng đã rời đi. Trong trường hợp này, bạn có thể liên hệ với chúng tôi để được hỗ trợ chuyển sản phẩm đến hãng để thẩm định và xử lý.

Nếu bạn cần thêm thông tin hoặc hỗ trợ gì khác, hãy cho tôi biết nhé!"
Ok cảm ơn em nhiều nha.,"Dạ, không có gì ạ! Anh/chị có cần hỗ trợ gì thêm không ạ? Hiện bên em có một số loại sản phẩm như: điện thoại, laptop, máy tính bảng, và phụ kiện công nghệ. Nếu anh/chị có nhu cầu gì cụ thể, em rất sẵn lòng giúp đỡ!"
Thời tiết Sài Gòn hôm nay sao em nhỉ?,"Xin lỗi, em không thể cung cấp thông tin về thời tiết. Nhưng nếu anh/chị cần hỗ trợ gì về sản phẩm công nghệ, bên em có nhiều loại như điện thoại, laptop, máy tính bảng, và phụ kiện công nghệ khác. Anh/chị có cần tìm hiểu thêm về sản phẩm nào không ạ?"
Chào em.,"Chào anh/chị! Anh/chị có cần hỗ trợ gì không ạ? Hiện bên em có một số loại sản phẩm như: điện thoại, laptop, máy tính bảng, phụ kiện công nghệ, và nhiều sản phẩm khác. Anh/chị đang tìm kiếm sản phẩm nào cụ thể không ạ?"
Shop mình có cửa hàng ở quận 7 không?,"Hiện tại, FPT Shop không có cửa hàng ở quận 7. Tuy nhiên, bạn có thể tìm kiếm các cửa hàng gần nhất qua trang web của chúng tôi tại [FPTShop](https://fptshop.com.vn/cua-hang). Nếu bạn cần hỗ trợ gì thêm, hãy cho tôi biết nhé!"
Dạo này shop có gì mới không em?,"Chào anh/chị! Hiện tại bên em có nhiều sản phẩm mới và hấp dẫn. Anh/chị có cần hỗ trợ gì không ạ? Một số loại sản phẩm mới mà em có thể giới thiệu bao gồm: điện thoại thông minh, laptop, máy tính bảng và các thiết bị công nghệ khác. Nếu anh/chị có nhu cầu cụ thể, em sẽ giúp tìm sản phẩm phù hợp nhất!"
