user_input,reference_contexts,reference,synthesizer_name
FPT Shop thu thập thông tin cá nhân để làm gì?,"['2ebe6a3c-6504-47dc-8c6c-40afd82ccb7a\n\nCâu hỏi: FPT Shop thu thập thông tin cá nhân của khách hàng với mục đích gì?\nCâu trả lời: FPTshop.com.vn thu thập thông tin cá nhân của khách hàng để cung cấp dịch vụ, xác minh danh tính, và đảm bảo các hoạt động giao dịch an toàn. Các thông tin được thu thập bao gồm số lần truy cập, số trang bạn xem, số liên kết bạn click và thông tin trình duyệt khi truy cập website.']","FPTshop.com.vn thu thập thông tin cá nhân của khách hàng để cung cấp dịch vụ, xác minh danh tính, và đảm bảo các hoạt động giao dịch an toàn. Các thông tin được thu thập bao gồm số lần truy cập, số trang bạn xem, số liên kết bạn click và thông tin trình duyệt khi truy cập website.",single_hop_specifc_query_synthesizer
"As a Customer Experience Manager, I would like to know how FPTshop.com.vn utilizes customer personal information and what specific communication channels are involved in this process.","['3ff2a668-0b6d-459b-9e8f-ca7d2cbc6387\n\nCâu hỏi: Thông tin cá nhân của khách hàng được sử dụng trong phạm vi nào?\nCâu trả lời: FPTshop.com.vn chỉ sử dụng thông tin cá nhân của khách hàng trong phạm vi đã thông báo, bao gồm liên hệ trực tiếp qua thư ngỏ, đơn đặt hàng, thư cảm ơn, sms, thông tin bảo mật, và các dịch vụ khác liên quan.']","FPTshop.com.vn chỉ sử dụng thông tin cá nhân của khách hàng trong phạm vi đã thông báo, bao gồm liên hệ trực tiếp qua thư ngỏ, đơn đặt hàng, thư cảm ơn, sms, thông tin bảo mật, và các dịch vụ khác liên quan.",single_hop_specifc_query_synthesizer
Thông tin cá nhân của khách hàng trên FPTshop.com.vn được lưu trữ bao lâu?,"['0eccfdc9-2847-4165-9cd8-08d52df8b366\n\nCâu hỏi: Thông tin cá nhân của khách hàng được lưu trữ bao lâu?\nCâu trả lời: Dữ liệu cá nhân sẽ được lưu trữ đến khi có yêu cầu hủy bỏ từ khách hàng hoặc khi khách hàng tự hủy bỏ thông tin. Trong mọi trường hợp, dữ liệu cá nhân sẽ được bảo mật trên máy chủ của FPTshop.com.vn.']","Dữ liệu cá nhân sẽ được lưu trữ đến khi có yêu cầu hủy bỏ từ khách hàng hoặc khi khách hàng tự hủy bỏ thông tin. Trong mọi trường hợp, dữ liệu cá nhân sẽ được bảo mật trên máy chủ của FPTshop.com.vn.",single_hop_specifc_query_synthesizer
FPT Shop có chia sẻ thông tin khách hàng với bên thứ ba không?,"['a9a85881-97be-4aad-b7bd-90975add56a4\n\nCâu hỏi: FPT Shop cam kết bảo mật thông tin khách hàng như thế nào?\nCâu trả lời: FPTshop.com.vn cam kết bảo mật thông tin cá nhân của khách hàng tuyệt đối, chỉ thu thập và sử dụng khi có sự đồng ý từ khách hàng, và không chia sẻ với bên thứ ba trừ trường hợp có quy định của pháp luật.']","FPTshop.com.vn cam kết bảo mật thông tin cá nhân của khách hàng tuyệt đối, chỉ thu thập và sử dụng khi có sự đồng ý từ khách hàng, và không chia sẻ với bên thứ ba trừ trường hợp có quy định của pháp luật.",single_hop_specifc_query_synthesizer
"As a Customer Data Analyst, I am interested in understanding the measures that FPTShop implements to ensure the security of customer payment card information. Could you elaborate on how FPTShop protects this sensitive data and what standards are followed in this process?",['01f1b731-3f89-48a0-9545-e76db5cbb3e1\n\nCâu hỏi: FPT Shop bảo mật thông tin thẻ thanh toán của khách hàng như thế nào?\nCâu trả lời: FPTShop đảm bảo thông tin thẻ thanh toán của khách hàng không được lưu trên hệ thống. Các đối tác cổng thanh toán sẽ lưu giữ và bảo mật thông tin này theo tiêu chuẩn quốc tế PCI DSS.'],FPTShop ensures that customer payment card information is not stored on their system. Payment gateway partners are responsible for retaining and securing this information according to international PCI DSS standards.,single_hop_specifc_query_synthesizer
Làm thế nào để yêu cầu xóa dữ liệu cá nhân tại FPT Shop?,['3af189a3-f870-4f6e-aa78-e9bb886c19c0\n\nCâu hỏi: Làm thế nào để yêu cầu xóa dữ liệu cá nhân tại FPT Shop?\nCâu trả lời: Khách hàng có thể gửi yêu cầu xóa dữ liệu qua email đến Trung tâm hỗ trợ của FPT Shop: fptshop@fpt.com.vn. Yêu cầu sẽ được chuyển đến bộ phận xử lý và khách hàng sẽ được cập nhật về tiến trình xóa dữ liệu.'],Khách hàng có thể gửi yêu cầu xóa dữ liệu qua email đến Trung tâm hỗ trợ của FPT Shop: fptshop@fpt.com.vn. Yêu cầu sẽ được chuyển đến bộ phận xử lý và khách hàng sẽ được cập nhật về tiến trình xóa dữ liệu.,single_hop_specifc_query_synthesizer
"As a Data Privacy Officer, I am concerned about the implications of FPT Shop's delivery policy, particularly regarding the handling of customer personal information when processing orders under 100.000 VNĐ. Can you elaborate on how FPT Shop ensures the protection of customer data during the delivery process?","['1e365921-b10d-4067-bc0a-598275c27ec6\n\nCâu hỏi: FPT Shop có chính sách giao hàng tại nhà như thế nào?\nCâu trả lời: FPT Shop hỗ trợ giao hàng tại nhà trên toàn quốc với phạm vi phủ sóng 63 tỉnh thành. Miễn phí giao hàng trong bán kính 20km với đơn hàng dưới 100.000 VNĐ thu phí 10.000 VNĐ. Với khoảng cách xa hơn, nhân viên sẽ tư vấn chi tiết.']","FPT Shop supports home delivery nationwide, covering 63 provinces. They offer free delivery within a 20km radius, while orders under 100.000 VNĐ incur a fee of 10.000 VNĐ. For longer distances, staff will provide detailed consultation. However, the context does not specify how customer personal information is protected during the delivery process.",single_hop_specifc_query_synthesizer
"Khi mua hàng trực tuyến tại FPT Shop, hình thức thanh toán nào áp dụng cho đơn hàng có giá trị từ 50 triệu?",['74b8660a-c670-4cad-8d78-d478df101984\n\nCâu hỏi: Hình thức thanh toán khi mua hàng trực tuyến tại FPT Shop?\nCâu trả lời: Đơn hàng có giá trị từ 50 triệu trở lên: Quý khách phải thanh toán trước 100% giá trị đơn hàng nếu muốn giao hàng tại nhà.\nĐơn hàng có giá trị dưới 50 triệu: Quý khách có thể nhận hàng và thanh toán tại nhà khi đồng ý mua hàng.'],Đơn hàng có giá trị từ 50 triệu trở lên: Quý khách phải thanh toán trước 100% giá trị đơn hàng nếu muốn giao hàng tại nhà.,single_hop_specifc_query_synthesizer
FPT Shop có cung cấp dịch vụ lắp đặt cho điều hòa không?,"['88b9fc5a-e204-4626-9f92-ae5632553358\n\nCâu hỏi: FPT Shop có hỗ trợ lắp đặt sản phẩm tại nhà không?\nCâu trả lời: FPT Shop hỗ trợ lắp đặt miễn phí cho các sản phẩm cần lắp đặt như TV, điều hòa sau khi giao hàng đến nơi.']","FPT Shop hỗ trợ lắp đặt miễn phí cho các sản phẩm cần lắp đặt như TV, điều hòa sau khi giao hàng đến nơi.",single_hop_specifc_query_synthesizer
FPT Shop ho tro doi tra san pham nhu the nao?,"['5a744615-9d9d-486f-96b8-d81802ba8719\n\nCâu hỏi: FPT Shop hỗ trợ đổi trả sản phẩm như thế nào?\nCâu trả lời: Khách hàng có thể đổi sản phẩm nếu phát hiện lỗi ngoại quan trước khi kích hoạt bảo hành điện tử hoặc ngay khi nhận hàng. Nếu sản phẩm có lỗi kỹ thuật của nhà sản xuất, khách hàng được đổi sản phẩm mới tại FPT Shop.']","Khách hàng có thể đổi sản phẩm nếu phát hiện lỗi ngoại quan trước khi kích hoạt bảo hành điện tử hoặc ngay khi nhận hàng. Nếu sản phẩm có lỗi kỹ thuật của nhà sản xuất, khách hàng được đổi sản phẩm mới tại FPT Shop.",single_hop_specifc_query_synthesizer
