__module__,__annotations__,__dict__,__weakref__,__doc__,__dataclass_params__,__dataclass_fields__,__init__,__repr__,__eq__,__hash__,__match_args__,gender,user_message
__main__,"{'gender': <class 'str'>, 'user_message': <class 'str'>}",<attribute '__dict__' of 'ConversationData' objects>,<attribute '__weakref__' of 'ConversationData' objects>,"ConversationData(gender: str, user_message: str)","_DataclassParams(init=True,repr=True,eq=True,order=False,unsafe_hash=False,frozen=False,match_args=True,kw_only=False,slots=False,weakref_slot=False)","{'gender': Field(name='gender',type=<class 'str'>,default=<dataclasses._MISSING_TYPE object at 0x7294b4179280>,default_factory=<dataclasses._MISSING_TYPE object at 0x7294b4179280>,init=True,repr=True,hash=None,compare=True,metadata=mappingproxy({}),kw_only=False,_field_type=_FIELD), 'user_message': Field(name='user_message',type=<class 'str'>,default=<dataclasses._MISSING_TYPE object at 0x7294b4179280>,default_factory=<dataclasses._MISSING_TYPE object at 0x7294b4179280>,init=True,repr=True,hash=None,compare=True,metadata=mappingproxy({}),kw_only=False,_field_type=_FIELD)}",<function ConversationData.__init__ at 0x7294a14bd4e0>,<function ConversationData.__repr__ at 0x7294a14bed40>,<function ConversationData.__eq__ at 0x7294a063e8e0>,,"('gender', 'user_message')",,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,Chị muốn hỏi về chính sách bảo hành pin điện thoại mua ở shop mình.
,,,,,,,,,,,,,Chị muốn hỏi về chính sách bảo hành pin điện thoại mua ở shop mình.
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,"Anh mua cái màn hình máy tính, giờ nó bị sọc thì bảo hành sao em?"
,,,,,,,,,,,,,"Anh mua cái màn hình máy tính, giờ nó bị sọc thì bảo hành sao em?"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,"Tôi mới mua con chuột máy tính hôm qua mà giờ thấy không ưng ý, có được đổi con khác không shop?"
,,,,,,,,,,,,,"Tôi mới mua con chuột máy tính hôm qua mà giờ thấy không ưng ý, có được đổi con khác không shop?"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,"Điện thoại của chị tự nhiên không nhận sạc, phải làm sao đây em?"
,,,,,,,,,,,,,"Điện thoại của chị tự nhiên không nhận sạc, phải làm sao đây em?"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,Sao gọi hotline không ai bắt máy?
,,,,,,,,,,,,,Sao gọi hotline không ai bắt máy?
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,Laptop của mình mới mua sao vào wifi chập chờn quá shop ơi.
,,,,,,,,,,,,,Laptop của mình mới mua sao vào wifi chập chờn quá shop ơi.
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,Anh đặt hàng online thì bao lâu nhận được hàng ở Thủ Đức vậy em?
,,,,,,,,,,,,,Anh đặt hàng online thì bao lâu nhận được hàng ở Thủ Đức vậy em?
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,Anh muốn xem bảng giá sửa chữa điện thoại thì vào đâu em?
,,,,,,,,,,,,,Anh muốn xem bảng giá sửa chữa điện thoại thì vào đâu em?
,,,,,,,,,,,,,Anh muốn xem bảng giá sửa chữa điện thoại thì vào đâu em?
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,"Chị mua cái máy xay sinh tố mà không biết dùng, shop hướng dẫn chị với."
