id,title,category,question,answer
1,Câu hỏi thường gặp,FAQ,Mua sản phẩm FPT Shop được bảo hành như thế nào?,"Để đảm bảo quyền lợi của Quý khách hàng khi mua sản phẩm tại các cửa hàng thuộc hệ thống cửa hàng FPT Shop. Chúng tôi cam kết tất cả các sản phẩm được tuân theo các điều khoản bảo hành của sản phẩm tại thời điểm xuất hóa đơn cho Quý khách hàng. Các sản phẩm điện thoại sẽ có chính sách bảo hành khác nhau tùy thuộc vào hãng sản xuất. Khách hàng có thể bảo hành máy tại các cửa hàng FPT Shop trên toàn quốc cũng như các trung tâm bảo hành chính hãng sản phẩm.Khách hàng có thể truy cập các đường dẫn sau để tìm kiếm địa chỉ trung tâm bảo hoặc cửa hàng FPT Shop gần nhất và tham khảo chính sách bảo hành:\n- Chính sách bảo hành: Quý khách vui lòng [Xem tại đây](https://fptshop.com.vn/ho-tro/chinh-sach-bao-hanh).\n- Cửa hàng FPT Shop gần nhất: Quý khách vui lòng [Xem tại đây](https://fptshop.com.vn/cua-hang).\n- Để tra cứu thông tin máy gửi bảo hành, Quý khách hàng vui lòng tra cứu tại [Trang kiểm tra bảo hành](https://fptshop.com.vn/kiem-tra-bao-hanh)."
2,Câu hỏi thường gặp,FAQ,Mua sản phẩm tại FPT Shop có được đổi trả không? Nếu được thì phí đổi trả sẽ được tính như thế nào?,"Đối với các sản phẩm ĐTDĐ, MTB, MTXT, SMARTWATCH (Áp dụng bao gồm các sản phẩm Apple), sản phẩm cùng model, cùng màu, cùng dung lượng. Trong tình huống sản phẩm đổi hết hàng, khách hàng có thể đổi sang một sản phẩm khác tương đương hoặc cao hơn về giá trị so với sản phẩm lỗi. Trường hợp khách hàng muốn trả sản phẩm: FPTShop sẽ kiểm tra tình trạng máy và thông báo đến Khách hàng về giá trị thu lại sản phẩm ngay tại cửa hàng.Để biết thêm thông tin chi tiết, Quý khách hàng có thể tra cứu phí đổi trả chi tiết [Tại đây](https://fptshop.com.vn/ho-tro/chinh-sach-doi-san-pham)."
3,Câu hỏi thường gặp,FAQ,FPT Shop có chính sách giao hàng tận nhà không? Nếu giao hàng tại nhà mà không ưng sản phẩm có được trả lại không?,"FPT Shop cam kết giao hàng toàn bộ 63 tỉnh thành, FPT Shop nhận giao đơn hàng có thời gian hẹn giao tại nhà trước 20h00. Miễn phí giao hàng với các đơn hàng trong bán kính 20km có đặt shop (Với đơn hàng có giá trị nhỏ hơn 100.000đ sẽ thu phí 10.000đ). Nếu Quý khách hàng không ưng ý với sản phẩm khi nhận hàng, Quý khách có thể từ chối mua hàng mà không mất bất cứ chi phí nào. Đối với các sản phẩm còn nguyên seal, khách hàng muốn bóc seal sẽ phải thanh toán 100% giá trị sản phẩm. Nếu không ưng, FPT Shop sẽ hỗ trợ đổi sản phẩm cho khách hàng theo chính sách đổi trả. Đối với các sản phẩm không seal, Quý khách hàng có thể kiểm tra máy mà không phải chịu bất cứ chi phí nào nếu không mua."
4,Câu hỏi thường gặp,FAQ,Làm thế nào để được mua hàng theo chính sách F.Friends?,"Để được mua hàng và hưởng quyền lợi theo chính sách mua hàng F.Friends, Quý khách hàng phải là hội viên. Điều kiện tiếp theo là bạn đã ký hợp đồng chính thức với doanh nghiệp đã tham gia chương trình F.Friends hay chưa.Để được trả góp quý khách phải đủ 8 tháng công tác tại doanh nghiệp."
5,Câu hỏi thường gặp,FAQ,Ưu đãi khi mua hàng theo chính sách F.Friends ?,"Nếu đã là hội viên của chương trình F.Friends , quý khách sẽ được hưởng ưu đãi trả thẳng giảm 3% khi mua sản phẩm. "
6,Câu hỏi thường gặp,FAQ,Làm thế nào để kiểm tra được tình trạng máy đã gửi đi bảo hành tại FPT Shop?,"Để tra cứu thông tin máy gửi bảo hành tại FPT Shop, Quý khách hàng có thể truy cập [Tại đây](https://fptshop.com.vn/kiem-tra-bao-hanh) và chọn mục ""Tra cứu thông tin máy""."
7,Câu hỏi thường gặp,FAQ,Muốn kiểm tra sản phẩm đã mua từ FPT Shop có chính hãng của Apple thì xem như thế nào?,"Để tra cứu thông tin sản phẩm chính hãng của Apple, Quý khách hàng có thể truy cập tại (https://checkcoverage.apple.com/)"
8,Câu hỏi thường gặp,FAQ,Cần hướng dẫn cách sử dụng về sản phẩm thì liên hệ hoặc xem ở đâu được?,Quý khách có thể tham khảo sách hướng dẫn sử dụng kèm theo sản phẩm hoặc gọi vào tổng đài 1800.6601 nhánh số 2 để gặp điện thoại viên hướng dẫn thêm.
9,Câu hỏi thường gặp,FAQ,Muốn xem giá thay thế linh kiện cho sản phẩm đã mua tại FPT Shop thì xem ở đâu?,Quý khách tham khảo bảng giá sửa chữa  (https://fptshop.com.vn/ho-tro/bang-gia-sua-chua)
10,Câu hỏi thường gặp,FAQ,Đặt đơn hàng thành công và muốn theo dõi tiến độ đơn hàng đã được đi giao chưa thì xem ở đâu?,"Để tra cứu thông tin đơn hàng đã đặt thành công và tiến độ xử lý đơn hàng, Quý khách hàng có thể truy cập tại (https://fptshop.com.vn/tai-khoan/don-hang-cua-toi)"
